Week,County,Sales
2/5/2011,OSWEGO      ,9865
2/5/2011,OTSEGO      ,4234
2/5/2011,PUTNAM      ,15121
2/5/2011,QUEENS      ,266579
2/5/2011,RENSSELAER  ,14129
2/5/2011,RICHMOND    ,67974
2/5/2011,ROCKLAND    ,42727
2/5/2011,SARATOGA    ,18940
2/5/2011,SCHENECTADY ,218877
2/5/2011,SCHOHARIE   ,2037
2/5/2011,SCHUYLER    ,1254
2/5/2011,SENECA      ,2841
2/5/2011,ST. LAWRENCE,7085
2/5/2011,STEUBEN     ,7564
2/5/2011,SUFFOLK     ,217038
2/5/2011,SULLIVAN    ,7224
2/5/2011,TIOGA       ,3590
2/5/2011,TOMPKINS    ,5840
2/5/2011,ULSTER      ,17466
2/5/2011,WARREN      ,6834
2/5/2011,WASHINGTON  ,4401
2/5/2011,WAYNE       ,7570
2/5/2011,WESTCHESTER ,122804
2/5/2011,WYOMING     ,3044
2/5/2011,YATES       ,1394
2/12/2011,ALBANY      ,29411
2/12/2011,ALLEGANY    ,2384
2/12/2011,BRONX       ,132905
2/12/2011,BROOME      ,15897
2/12/2011,CATTARAUGUS ,5633
2/12/2011,CAYUGA      ,6690
2/12/2011,CHAUTAUQUA  ,9543
2/12/2011,CHEMUNG     ,6436
2/12/2011,CHENANGO    ,3467
2/12/2011,CLINTON     ,5154
2/12/2011,COLUMBIA    ,6471
2/12/2011,CORTLAND    ,3354
2/12/2011,DELAWARE    ,4294
2/12/2011,DUTCHESS    ,32393
2/12/2011,ERIE        ,79493
2/12/2011,ESSEX       ,2457
2/12/2011,FRANKLIN    ,3156
2/12/2011,FULTON      ,5089
2/12/2011,GENESEE     ,4286
2/12/2011,GREENE      ,5524
2/12/2011,HAMILTON    ,413
2/12/2011,HERKIMER    ,4293
2/12/2011,JEFFERSON   ,6681
2/12/2011,KINGS       ,238690
2/12/2011,LEWIS       ,1430
2/12/2011,LIVINGSTON  ,4571
2/12/2011,MADISON     ,4717
2/12/2011,MONROE      ,69213
2/12/2011,MONTGOMERY  ,5499
2/12/2011,NASSAU      ,210154
2/12/2011,NEW YORK    ,240755
2/12/2011,NIAGARA     ,16221
2/12/2011,ONEIDA      ,18288
2/12/2011,ONONDAGA    ,40729
2/12/2011,ONTARIO     ,9631
2/12/2011,ORANGE      ,44545
2/12/2011,ORLEANS     ,2825
2/12/2011,OSWEGO      ,9016
2/12/2011,OTSEGO      ,4411
2/12/2011,PUTNAM      ,15467
2/12/2011,QUEENS      ,269514
2/12/2011,RENSSELAER  ,14877
2/12/2011,RICHMOND    ,68374
2/12/2011,ROCKLAND    ,44679
2/12/2011,SARATOGA    ,20443
2/12/2011,SCHENECTADY ,219696
2/12/2011,SCHOHARIE   ,2175
2/12/2011,SCHUYLER    ,1328
2/12/2011,SENECA      ,2829
2/12/2011,ST. LAWRENCE,7073
2/12/2011,STEUBEN     ,7187
2/12/2011,SUFFOLK     ,220390
2/12/2011,SULLIVAN    ,7707
2/12/2011,TIOGA       ,3402
2/12/2011,TOMPKINS    ,6112
2/12/2011,ULSTER      ,18776
2/12/2011,WARREN      ,7617
2/12/2011,WASHINGTON  ,4494
2/12/2011,WAYNE       ,7065
2/12/2011,WESTCHESTER ,130562
2/12/2011,WYOMING     ,2950
2/12/2011,YATES       ,1425
